date,season,year,month,holiday,weekday,workingday,weather,casual,registered,count,day_type
2011-01-01,Spring,2011,Jan,0,Sat,0,Misty/Cloudy,331,654,985,Weekend
2011-01-02,Spring,2011,Jan,0,Sun,0,Misty/Cloudy,131,670,801,Weekend
2011-01-03,Spring,2011,Jan,0,Mon,1,Clear/Partly Cloudy,120,1229,1349,Working Day
2011-01-04,Spring,2011,Jan,0,Tue,1,Clear/Partly Cloudy,108,1454,1562,Working Day
2011-01-05,Spring,2011,Jan,0,Wed,1,Clear/Partly Cloudy,82,1518,1600,Working Day
2011-01-06,Spring,2011,Jan,0,Thu,1,Clear/Partly Cloudy,88,1518,1606,Working Day
2011-01-07,Spring,2011,Jan,0,Fri,1,Misty/Cloudy,148,1362,1510,Working Day
2011-01-08,Spring,2011,Jan,0,Sat,0,Misty/Cloudy,68,891,959,Weekend
2011-01-09,Spring,2011,Jan,0,Sun,0,Clear/Partly Cloudy,54,768,822,Weekend
2011-01-10,Spring,2011,Jan,0,Mon,1,Clear/Partly Cloudy,41,1280,1321,Working Day
2011-01-11,Spring,2011,Jan,0,Tue,1,Misty/Cloudy,43,1220,1263,Working Day
2011-01-12,Spring,2011,Jan,0,Wed,1,Clear/Partly Cloudy,25,1137,1162,Working Day
2011-01-13,Spring,2011,Jan,0,Thu,1,Clear/Partly Cloudy,38,1368,1406,Working Day
2011-01-14,Spring,2011,Jan,0,Fri,1,Clear/Partly Cloudy,54,1367,1421,Working Day
2011-01-15,Spring,2011,Jan,0,Sat,0,Misty/Cloudy,222,1026,1248,Weekend
2011-01-16,Spring,2011,Jan,0,Sun,0,Clear/Partly Cloudy,251,953,1204,Weekend
2011-01-17,Spring,2011,Jan,1,Mon,0,Misty/Cloudy,117,883,1000,Holiday
2011-01-18,Spring,2011,Jan,0,Tue,1,Misty/Cloudy,9,674,683,Working Day
2011-01-19,Spring,2011,Jan,0,Wed,1,Misty/Cloudy,78,1572,1650,Working Day
2011-01-20,Spring,2011,Jan,0,Thu,1,Misty/Cloudy,83,1844,1927,Working Day
2011-01-21,Spring,2011,Jan,0,Fri,1,Clear/Partly Cloudy,75,1468,1543,Working Day
2011-01-22,Spring,2011,Jan,0,Sat,0,Clear/Partly Cloudy,93,888,981,Weekend
2011-01-23,Spring,2011,Jan,0,Sun,0,Clear/Partly Cloudy,150,836,986,Weekend
2011-01-24,Spring,2011,Jan,0,Mon,1,Clear/Partly Cloudy,86,1330,1416,Working Day
2011-01-25,Spring,2011,Jan,0,Tue,1,Misty/Cloudy,186,1799,1985,Working Day
2011-01-26,Spring,2011,Jan,0,Wed,1,Light Rain/Snow,34,472,506,Working Day
2011-01-27,Spring,2011,Jan,0,Thu,1,Clear/Partly Cloudy,15,416,431,Working Day
2011-01-28,Spring,2011,Jan,0,Fri,1,Misty/Cloudy,38,1129,1167,Working Day
2011-01-29,Spring,2011,Jan,0,Sat,0,Clear/Partly Cloudy,123,975,1098,Weekend
2011-01-30,Spring,2011,Jan,0,Sun,0,Clear/Partly Cloudy,140,956,1096,Weekend
2011-01-31,Spring,2011,Jan,0,Mon,1,Misty/Cloudy,42,1459,1501,Working Day
2011-02-01,Spring,2011,Feb,0,Tue,1,Misty/Cloudy,47,1313,1360,Working Day
2011-02-02,Spring,2011,Feb,0,Wed,1,Misty/Cloudy,72,1454,1526,Working Day
2011-02-03,Spring,2011,Feb,0,Thu,1,Clear/Partly Cloudy,61,1489,1550,Working Day
2011-02-04,Spring,2011,Feb,0,Fri,1,Misty/Cloudy,88,1620,1708,Working Day
2011-02-05,Spring,2011,Feb,0,Sat,0,Misty/Cloudy,100,905,1005,Weekend
2011-02-06,Spring,2011,Feb,0,Sun,0,Clear/Partly Cloudy,354,1269,1623,Weekend
2011-02-07,Spring,2011,Feb,0,Mon,1,Clear/Partly Cloudy,120,1592,1712,Working Day
2011-02-08,Spring,2011,Feb,0,Tue,1,Clear/Partly Cloudy,64,1466,1530,Working Day
2011-02-09,Spring,2011,Feb,0,Wed,1,Misty/Cloudy,53,1552,1605,Working Day
2011-02-10,Spring,2011,Feb,0,Thu,1,Clear/Partly Cloudy,47,1491,1538,Working Day
2011-02-11,Spring,2011,Feb,0,Fri,1,Clear/Partly Cloudy,149,1597,1746,Working Day
2011-02-12,Spring,2011,Feb,0,Sat,0,Clear/Partly Cloudy,288,1184,1472,Weekend
2011-02-13,Spring,2011,Feb,0,Sun,0,Clear/Partly Cloudy,397,1192,1589,Weekend
2011-02-14,Spring,2011,Feb,0,Mon,1,Clear/Partly Cloudy,208,1705,1913,Working Day
2011-02-15,Spring,2011,Feb,0,Tue,1,Clear/Partly Cloudy,140,1675,1815,Working Day
2011-02-16,Spring,2011,Feb,0,Wed,1,Clear/Partly Cloudy,218,1897,2115,Working Day
